;document_id;courier_id;year;record_number;pages;catalogue_title;authors;filename;document_name;n_raw_tokens
0;0;146744;1947;146885;[3, 4];UNESCO faces two worlds;Dexter, Byron;1947_146744_146885.txt;1947_146744_146885;5380
1;1;73649;1948;73651;[1];M. Maritain calls for unity;Maritain, Jacques;1948_073649_73651.txt;1948_073649_73651;179
2;2;73649;1948;73652;[1];Dr. Huxley pays tribute to Mexico;Huxley, Julian;1948_073649_73652.txt;1948_073649_73652;592
3;3;73649;1948;73654;[1];"UNESCO appeal; war not inevitable";;1948_073649_73654.txt;1948_073649_73654;229
4;4;73649;1948;73655;[1, 6];Highlights of projects and budget for 2nd year;;1948_073649_73655.txt;1948_073649_73655;1240
5;5;73649;1948;73657;[2];Natural sciences: practical steps for international cooperation among scientists;Needham, Joseph;1948_073649_73657.txt;1948_073649_73657;1120
6;6;73649;1948;73658;[2];Dr. Walker elected Chairman of Executive Board;;1948_073649_73658.txt;1948_073649_73658;420
7;7;73649;1948;73659;[2];National Commissions to play big role, UNESCO Conference agrees;;1948_073649_73659.txt;1948_073649_73659;816
8;8;73649;1948;73662;[3];Free flow of ideas debated;;1948_073649_73662.txt;1948_073649_73662;578
9;9;73649;1948;73663;[3];Production unit planned: mass media to be used for peace;Grierson, John;1948_073649_73663.txt;1948_073649_73663;1182
10;10;73649;1948;73665;[3];Surveys in mass media broadened: press, radio, film needs of new Member States to be studied;;1948_073649_73665.txt;1948_073649_73665;242
11;11;73649;1948;73666;[3];48 scholarships to be awarded war-hit nations;;1948_073649_73666.txt;1948_073649_73666;303
12;12;73649;1948;73667;[4];Fundamental education;Bowers, John;1948_073649_73667.txt;1948_073649_73667;2077
13;13;73649;1948;73668;[4];Brazil's campaign for literacy;;1948_073649_73668.txt;1948_073649_73668;212
14;14;73649;1948;73669;[5];Education: three seminars slated for the coming year;Kuo Yu-shou;1948_073649_73669.txt;1948_073649_73669;906
15;15;73649;1948;73671;[5];UNESCO to promote reconstruction fund;Drzewieski, Bernard;1948_073649_73671.txt;1948_073649_73671;992
16;16;73649;1948;73672;[6];Book coupon scheme to be studied in 1948;Carter, Edward J.;1948_073649_73672.txt;1948_073649_73672;1193
17;17;73649;1948;73674;[7];Translations of classics to be promoted by UNESCO;Mayoux, Jean Jacques;1948_073649_73674.txt;1948_073649_73674;606
18;18;73649;1948;73675;[7];Social scientists study international tensions;Brodersen, Arvid;1948_073649_73675.txt;1948_073649_73675;799
19;19;73649;1948;73676;[7];Moral guide of world says Mexican President in tribute to UNESCO;;1948_073649_73676.txt;1948_073649_73676;311
20;20;73649;1948;73677;[7];Dr. Gual Vidal stresses education role in building peace;;1948_073649_73677.txt;1948_073649_73677;261
21;21;73649;1948;73678;[8];Arts and letters programme for 1948;;1948_073649_73678.txt;1948_073649_73678;970
22;22;73649;1948;73681;[7];World copyright law planned;;1948_073649_73681.txt;1948_073649_73681;253
23;23;73649;1948;380000;[1, 7];"Conference sets programme for 1948: “UNESCO month"" attracts thousands of visitors to Mexican capital";;1948_073649_380000.txt;1948_073649_380000;587
24;24;73649;1948;380001;[6];Unesco Programme to stress exchange between museums;;1948_073649_380001.txt;1948_073649_380001;351
25;25;73683;1948;73684;[1];Huxley reviews 1948 progress;;1948_073683_73684.txt;1948_073683_73684;291
26;26;73683;1948;73685;[1, 2];Executive Board convenes;;1948_073683_73685.txt;1948_073683_73685;1237
27;27;73683;1948;73686;[1];Truman addresses National Commission;Truman, Harry S.;1948_073683_73686.txt;1948_073683_73686;269
28;28;73683;1948;73687;[2];UNESCO deplores death of Gandhi;;1948_073683_73687.txt;1948_073683_73687;6
29;29;73683;1948;73688;[2];Radhakrishnan pays tribute to Mahatma;Radhakrishnan, Sarvepalli;1948_073683_73688.txt;1948_073683_73688;1143
30;30;73683;1948;73689;[2];Julian Huxley cables sorrow to Pandit Nehru;Huxley, Julian;1948_073683_73689.txt;1948_073683_73689;138
31;31;73683;1948;73691;[3];Save the children! Says report to UNESCO on educational problems of child war victims;;1948_073683_73691.txt;1948_073683_73691;1011
32;32;73683;1948;73692;[3];A War-devastated country: Hungarian delegate views nation's role in UNESCO;Ferenczi, Edmond;1948_073683_73692.txt;1948_073683_73692;622
33;33;73683;1948;73693;[3];The Book of needs;;1948_073683_73693.txt;1948_073683_73693;579
34;34;73683;1948;73694;[3];School pamphlet to be reprinted;;1948_073683_73694.txt;1948_073683_73694;207
35;35;73683;1948;73695;[4];U.S.A.: National Commission highlights reconstruction;;1948_073683_73695.txt;1948_073683_73695;1132
36;36;73683;1948;73696;[4];UNESCO and national cooperation;;1948_073683_73696.txt;1948_073683_73696;363
37;37;73683;1948;73698;[4, 5];Austria: new member state seeks cultural exchange;;1948_073683_73698.txt;1948_073683_73698;574
38;38;73683;1948;73700;[5];Mexico: Commission stresses UNESCO's education work;;1948_073683_73700.txt;1948_073683_73700;506
39;39;73683;1948;73701;[5];France: Permanent Commission to broaden activities;;1948_073683_73701.txt;1948_073683_73701;810
40;40;73683;1948;73702;[6];UNESCO takes part in U.N. press talks;;1948_073683_73702.txt;1948_073683_73702;427
41;41;73683;1948;73703;[6];UNESCO strengthened by Mexico Conference;Benton, William|Carrion, B.;1948_073683_73703.txt;1948_073683_73703;869
42;42;73683;1948;73705;[6];Way of life books planned by UNESCO;Martin, Perceval W.;1948_073683_73705.txt;1948_073683_73705;617
43;43;73683;1948;73706;[7];M. Jean Thomas speaks of 'UNESCO and culture';;1948_073683_73706.txt;1948_073683_73706;524
44;44;73683;1948;73707;[7];"London, Lake Success and Prague to be host to UNESCO summer seminars; Latin American seminar also planned";;1948_073683_73707.txt;1948_073683_73707;410
45;45;73683;1948;73708;[7];A Chinese pioneer: Dr. Yen describes work of mass education in China;Yen, James;1948_073683_73708.txt;1948_073683_73708;1277
46;46;73683;1948;73709;[8];Ex-enemy states discussed;;1948_073683_73709.txt;1948_073683_73709;171
47;47;73683;1948;73710;[8];UNESCO promotes development of national book exchange centers;;1948_073683_73710.txt;1948_073683_73710;393
